-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.84%      26.156ms       100.00%     921.718ms     921.718ms       0.000us         0.00%     274.054ms     274.054ms      32.00 Kb         760 b       3.62 Gb      -3.76 Gb             1  
                                              aten::mul         0.60%       5.506ms         2.94%      27.131ms     141.307us      17.630ms         7.63%      20.264ms     105.542us           0 b           0 b       1.70 Gb       1.70 Gb           192  
                                              aten::add         0.39%       3.632ms         2.23%      20.596ms     121.870us      16.444ms         7.11%      17.951ms     106.219us           0 b           0 b       1.32 Gb       1.32 Gb           169  
                                           aten::linear         0.22%       2.033ms        18.75%     172.783ms       1.192ms       0.000us         0.00%     156.856ms       1.082ms           0 b           0 b     961.53 Mb           0 b           145  
                                            aten::addmm         1.10%      10.094ms        18.19%     167.639ms       1.156ms     147.824ms        63.95%     156.856ms       1.082ms           0 b           0 b     961.53 Mb     961.53 Mb           145  
                                               aten::to         0.30%       2.738ms         2.26%      20.853ms     115.850us       0.000us         0.00%       7.907ms      43.928us           0 b           0 b     716.80 Mb      27.92 Mb           180  
                                         aten::_to_copy         0.13%       1.177ms         1.99%      18.304ms     225.975us       0.000us         0.00%       8.272ms     102.123us           0 b           0 b     716.80 Mb           0 b            81  
                                    aten::empty_strided         0.13%       1.218ms         0.71%       6.537ms      80.704us       0.000us         0.00%     209.000us       2.580us           0 b           0 b     716.80 Mb     716.80 Mb            81  
                                           aten::matmul         0.11%       1.000ms         2.10%      19.320ms     402.500us       0.000us         0.00%      13.359ms     278.312us           0 b           0 b     487.41 Mb           0 b            48  
                                            aten::empty         0.14%       1.301ms         0.18%       1.641ms      12.246us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     484.03 Mb     484.03 Mb           134  
