-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::lt         0.01%      66.000us         0.92%       7.112ms       7.112ms       5.000us         0.00%       5.000us       5.000us           0 b           0 b      10.00 Kb      10.00 Kb             1  
                                           aten::arange         0.02%     120.000us         0.68%       5.214ms       1.304ms       5.000us         0.00%      10.000us       2.500us           0 b           0 b       4.00 Kb           0 b             4  
                                      aten::nll_loss_nd         0.01%      53.000us         2.94%      22.682ms      22.682ms       0.000us         0.00%      23.000us      23.000us           0 b           0 b       1.00 Kb           0 b             1  
                                         aten::nll_loss         0.00%      23.000us         2.94%      22.629ms      22.629ms       0.000us         0.00%      23.000us      23.000us           0 b           0 b       1.00 Kb           0 b             1  
                                 aten::nll_loss_forward         0.01%      86.000us         2.93%      22.606ms      22.606ms      23.000us         0.02%      23.000us      23.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                          aten::random_         0.01%      41.000us         0.01%      41.000us      20.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                             aten::item         0.00%       8.000us         0.00%      13.000us       6.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                              aten::_local_scalar_dense         0.00%       5.000us         0.00%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.06%     492.000us         0.09%     714.000us     357.000us       0.000us         0.00%       0.000us       0.000us      15.62 Kb     -14.07 Kb           0 b           0 b             2  
                                         aten::randperm         0.01%      81.000us         0.02%     165.000us      82.500us       0.000us         0.00%       0.000us       0.000us      14.06 Kb          -8 b           0 b           0 b             2  
                                    aten::scalar_tensor         0.00%       6.000us         0.00%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           8 b           8 b           0 b           0 b             1  
                                     aten::resolve_conj         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                            aten::stack         0.01%      56.000us         0.02%     116.000us      29.000us       0.000us         0.00%       0.000us       0.000us      15.62 Kb           0 b           0 b           0 b             4  
                                             aten::view         0.24%       1.876ms         0.24%       1.876ms       3.468us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           541  
                                            aten::copy_         0.21%       1.646ms         1.45%      11.194ms      84.165us       7.044ms         5.33%       8.261ms      62.113us           0 b           0 b           0 b           0 b           133  
                                        cudaMemcpyAsync         0.01%      65.000us         0.01%      65.000us      13.000us      54.000us         0.04%      54.000us      10.800us           0 b           0 b           0 b           0 b             5  
                                  cudaStreamSynchronize         0.00%      25.000us         0.00%      25.000us       6.250us       1.000us         0.00%       1.000us       0.250us           0 b           0 b           0 b           0 b             4  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.00%       3.000us       0.750us           0 b           0 b           0 b           0 b             4  
                                       cudaLaunchKernel        75.28%     580.404ms        75.28%     580.404ms     576.942us      18.939ms        14.32%      18.939ms      18.826us           0 b           0 b           0 b           0 b          1006  
