-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         3.58%      31.615ms       100.00%     882.355ms     882.355ms       0.000us         0.00%      93.161ms      93.161ms      10.12 Kb         760 b       1.11 Gb      -1.15 Gb             1  
                                              aten::mul         0.70%       6.220ms         3.06%      27.000ms     140.625us       5.477ms         6.33%       5.981ms      31.151us           0 b           0 b     506.25 Mb     506.25 Mb           192  
                                              aten::add         0.49%       4.366ms         2.38%      20.961ms     124.030us       5.090ms         5.88%       5.596ms      33.112us           0 b           0 b     405.10 Mb     405.10 Mb           169  
                                           aten::linear         0.26%       2.330ms        12.10%     106.780ms     736.414us       0.000us         0.00%      61.102ms     421.393us           0 b           0 b     313.64 Mb           0 b           145  
                                            aten::addmm         1.36%      11.981ms        11.40%     100.558ms     693.503us      58.538ms        67.67%      61.102ms     421.393us           0 b           0 b     313.64 Mb     313.64 Mb           145  
                                               aten::to         0.32%       2.827ms         1.92%      16.950ms      94.167us       0.000us         0.00%       3.443ms      19.128us           0 b           0 b     217.16 Mb      11.72 Mb           180  
                                         aten::_to_copy         0.14%       1.212ms         1.63%      14.366ms     177.358us       0.000us         0.00%       3.583ms      44.235us           0 b           0 b     217.16 Mb           0 b            81  
                                    aten::empty_strided         0.13%       1.157ms         0.30%       2.668ms      32.938us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     217.16 Mb     217.16 Mb            81  
                                           aten::matmul         0.13%       1.103ms         2.04%      18.038ms     375.792us       0.000us         0.00%       4.835ms     100.729us           0 b           0 b     161.09 Mb           0 b            48  
                                            aten::empty         0.20%       1.731ms         0.22%       1.982ms      14.791us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     156.34 Mb     156.34 Mb           134  
