-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        55.69%        2.373s       100.00%        4.262s        4.262s       0.000us         0.00%      17.309ms      17.309ms       3.41 Kb         280 b     166.22 Mb     -99.76 Mb             1  
                                              aten::mul         0.04%       1.706ms         0.26%      11.276ms     230.122us     371.000us         2.22%     371.000us       7.571us           0 b           0 b      67.09 Mb      67.09 Mb            49  
                                              aten::add         0.05%       2.113ms         0.08%       3.198ms      52.426us     354.000us         2.11%     359.000us       5.885us           0 b           0 b      45.99 Mb      45.99 Mb            61  
                                            aten::addmm         0.44%      18.927ms         2.80%     119.480ms       2.489ms      10.252ms        61.23%      10.806ms     225.125us           0 b           0 b      43.41 Mb      43.41 Mb            48  
                                           aten::matmul         0.02%     738.000us         0.16%       6.714ms     268.560us       0.000us         0.00%       4.436ms     177.440us           0 b           0 b      29.01 Mb           0 b            25  
                                           aten::linear         0.00%      23.000us         0.01%     539.000us     539.000us       0.000us         0.00%       3.513ms       3.513ms           0 b           0 b      20.00 Mb           0 b             1  
                                               aten::mm         0.00%     139.000us         0.01%     438.000us     438.000us       3.513ms        20.98%       3.513ms       3.513ms           0 b           0 b      20.00 Mb      20.00 Mb             1  
                               aten::cross_entropy_loss         0.00%      39.000us         0.57%      24.130ms      24.130ms       0.000us         0.00%     392.000us     392.000us           0 b           0 b      18.98 Mb           0 b             1  
                                      aten::log_softmax         0.00%      15.000us         0.06%       2.491ms       2.491ms       0.000us         0.00%     384.000us     384.000us           0 b           0 b      18.98 Mb           0 b             1  
                                     aten::_log_softmax         0.00%      78.000us         0.06%       2.476ms       2.476ms     384.000us         2.29%     384.000us     384.000us           0 b           0 b      18.98 Mb      18.98 Mb             1  
