-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.40%      24.953ms       100.00%        1.040s        1.040s       0.000us         0.00%     246.453ms     246.453ms      28.88 Kb         760 b       3.24 Gb      -3.36 Gb             1  
                                              aten::mul         0.48%       5.041ms         2.42%      25.200ms     131.250us      15.815ms         7.03%      16.990ms      88.490us           0 b           0 b       1.50 Gb       1.50 Gb           192  
                                              aten::add         0.31%       3.264ms         1.89%      19.637ms     116.195us      14.814ms         6.59%      17.702ms     104.746us           0 b           0 b       1.18 Gb       1.18 Gb           169  
                                           aten::linear         0.19%       2.027ms        16.57%     172.264ms       1.188ms       0.000us         0.00%     160.283ms       1.105ms           0 b           0 b     881.74 Mb           0 b           145  
                                            aten::addmm         0.88%       9.131ms        16.11%     167.480ms       1.155ms     148.891ms        66.21%     160.283ms       1.105ms           0 b           0 b     881.74 Mb     881.74 Mb           145  
                                               aten::to         0.26%       2.701ms         2.33%      24.220ms     134.556us       0.000us         0.00%       7.942ms      44.122us           0 b           0 b     645.52 Mb       5.94 Mb           180  
                                         aten::_to_copy         0.12%       1.258ms         2.07%      21.533ms     265.840us       0.000us         0.00%       8.051ms      99.395us           0 b           0 b     645.52 Mb           0 b            81  
                                    aten::empty_strided         0.13%       1.395ms         0.93%       9.701ms     119.765us       0.000us         0.00%     254.000us       3.136us           0 b           0 b     645.52 Mb     645.52 Mb            81  
                                           aten::matmul         0.08%     870.000us         1.37%      14.291ms     297.729us       0.000us         0.00%      13.289ms     276.854us           0 b           0 b     439.20 Mb           0 b            48  
                                            aten::empty         0.12%       1.223ms         0.18%       1.836ms      13.701us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     438.84 Mb     438.84 Mb           134  
