-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.76%      24.232ms       100.00%     876.862ms     876.862ms       0.000us         0.00%     163.951ms     163.951ms      19.50 Kb         760 b       2.16 Gb      -2.23 Gb             1  
                                              aten::mul         0.53%       4.678ms         2.29%      20.043ms     104.391us      10.699ms         7.06%      11.102ms      57.823us           0 b           0 b    1021.92 Mb    1021.92 Mb           192  
                                              aten::add         0.36%       3.163ms         2.07%      18.177ms     107.556us      10.057ms         6.63%      10.882ms      64.391us           0 b           0 b     803.50 Mb     803.50 Mb           169  
                                           aten::linear         0.20%       1.778ms        13.45%     117.905ms     813.138us       0.000us         0.00%     102.151ms     704.490us           0 b           0 b     577.08 Mb           0 b           145  
                                            aten::addmm         0.98%       8.622ms        12.93%     113.418ms     782.193us      98.348ms        64.86%     102.151ms     704.490us           0 b           0 b     577.08 Mb     577.08 Mb           145  
                                               aten::to         0.32%       2.766ms         2.06%      18.037ms     100.206us       0.000us         0.00%       5.640ms      31.333us           0 b           0 b     433.52 Mb           0 b           180  
                                         aten::_to_copy         0.12%       1.039ms         1.74%      15.271ms     188.531us       0.000us         0.00%       5.640ms      69.630us           0 b           0 b     433.52 Mb           0 b            81  
                                    aten::empty_strided         0.11%     967.000us         0.40%       3.550ms      43.827us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     433.52 Mb     433.52 Mb            81  
                                           aten::matmul         0.10%     887.000us         1.91%      16.769ms     349.354us       0.000us         0.00%       9.114ms     189.875us           0 b           0 b     292.48 Mb           0 b            48  
                                            aten::empty         0.13%       1.150ms         0.16%       1.385ms      10.336us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     291.82 Mb     291.82 Mb           134  
