-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        48.83%     597.408ms       100.00%        1.223s        1.223s       0.000us         0.00%     126.678ms     126.678ms      31.53 Kb         280 b       1.53 Gb      -1.27 Gb             1  
                                              aten::mul         0.16%       1.939ms         1.11%      13.525ms     276.020us       5.461ms         4.65%       5.464ms     111.510us           0 b           0 b     576.00 Mb     576.00 Mb            49  
                                              aten::add         0.16%       1.940ms         0.42%       5.118ms      83.902us       4.571ms         3.89%       4.720ms      77.377us           0 b           0 b     416.17 Mb     416.17 Mb            61  
                                            aten::empty         0.15%       1.831ms         0.18%       2.190ms      13.114us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     404.24 Mb     404.24 Mb           167  
                                           aten::matmul         0.04%     528.000us         0.47%       5.693ms     227.720us       0.000us         0.00%      32.455ms       1.298ms           0 b           0 b     396.79 Mb           0 b            25  
                                            aten::clone         0.03%     423.000us         0.27%       3.362ms      67.240us       0.000us         0.00%       4.015ms      80.300us           0 b           0 b     330.79 Mb      -2.93 Mb            50  
                                       aten::empty_like         0.02%     191.000us         0.10%       1.218ms      24.360us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     330.79 Mb       2.93 Mb            50  
                                            aten::addmm         0.42%       5.161ms         2.33%      28.458ms     592.875us      63.771ms        54.29%      72.425ms       1.509ms           0 b           0 b     327.91 Mb     327.91 Mb            48  
                                       aten::contiguous         0.04%     460.000us         0.10%       1.216ms      86.857us       0.000us         0.00%     425.000us      30.357us           0 b           0 b     225.16 Mb     190.00 Mb            14  
                                           aten::linear         0.00%      14.000us         0.04%     534.000us     534.000us       0.000us         0.00%      27.692ms      27.692ms           0 b           0 b     192.00 Mb           0 b             1  
