-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        54.91%        1.519s       100.00%        2.766s        2.766s       0.000us         0.00%      41.300ms      41.300ms       9.66 Kb         280 b     479.43 Mb    -355.40 Mb             1  
                                              aten::mul         0.05%       1.284ms         0.76%      20.959ms     427.735us       1.648ms         4.26%       1.662ms      33.918us           0 b           0 b     168.75 Mb     168.75 Mb            49  
                                              aten::add         0.05%       1.391ms         0.08%       2.332ms      38.230us       1.309ms         3.38%       2.363ms      38.738us           0 b           0 b     130.35 Mb     130.35 Mb            61  
                                           aten::matmul         0.02%     478.000us         0.26%       7.281ms     291.240us       0.000us         0.00%      11.230ms     449.200us           0 b           0 b     124.19 Mb           0 b            25  
                                            aten::empty         0.07%       1.911ms         0.26%       7.192ms      43.066us       0.000us         0.00%      18.000us       0.108us      14.08 Kb      14.08 Kb     121.19 Mb     121.19 Mb           167  
                                            aten::addmm         0.17%       4.667ms         0.88%      24.322ms     506.708us      20.941ms        54.10%      22.076ms     459.917us           0 b           0 b     106.61 Mb     106.61 Mb            48  
                                            aten::clone         0.02%     443.000us         0.25%       6.883ms     137.660us       0.000us         0.00%       1.566ms      31.320us           0 b           0 b      99.13 Mb    -900.00 Kb            50  
                                       aten::empty_like         0.01%     201.000us         0.17%       4.621ms      92.420us       0.000us         0.00%      18.000us       0.360us           0 b           0 b      99.13 Mb     900.00 Kb            50  
                                       aten::contiguous         0.00%      30.000us         0.11%       2.919ms     208.500us       0.000us         0.00%     874.000us      62.429us           0 b           0 b      67.49 Mb           0 b            14  
                                           aten::linear         0.00%      18.000us         0.02%     512.000us     512.000us       0.000us         0.00%       9.189ms       9.189ms           0 b           0 b      58.00 Mb           0 b             1  
