-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         3.24%      25.025ms       100.00%     771.350ms     771.350ms       0.000us         0.00%      74.429ms      74.429ms       7.00 Kb         760 b     789.75 Mb    -778.19 Mb             1  
                                              aten::mul         0.54%       4.148ms         1.95%      15.043ms      78.349us       3.956ms         5.83%       4.661ms      24.276us           0 b           0 b     362.55 Mb     362.55 Mb           192  
                                              aten::add         0.44%       3.363ms         2.59%      19.957ms     118.089us       3.586ms         5.29%       3.932ms      23.266us           0 b           0 b     278.73 Mb     278.73 Mb           169  
                                           aten::linear         0.28%       2.151ms        11.51%      88.808ms     612.469us       0.000us         0.00%      50.820ms     350.483us           0 b           0 b     203.00 Mb           0 b           145  
                                            aten::addmm         1.29%       9.946ms        10.82%      83.476ms     575.697us      47.611ms        70.19%      50.820ms     350.483us           0 b           0 b     203.00 Mb     203.00 Mb           145  
                                               aten::to         0.35%       2.690ms         1.87%      14.423ms      80.128us       0.000us         0.00%       2.389ms      13.272us           0 b           0 b     164.51 Mb      20.00 Kb           180  
                                         aten::_to_copy         0.13%       1.018ms         1.54%      11.869ms     146.531us       0.000us         0.00%       2.395ms      29.568us           0 b           0 b     164.51 Mb           0 b            81  
                                    aten::empty_strided         0.10%     809.000us         0.13%       1.000ms      12.346us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     164.51 Mb     164.51 Mb            81  
                                           aten::matmul         0.13%     982.000us         2.67%      20.557ms     428.271us       0.000us         0.00%       3.619ms      75.396us           0 b           0 b      97.01 Mb           0 b            48  
                                            aten::empty         0.25%       1.906ms         1.27%       9.797ms      73.112us       0.000us         0.00%     182.000us       1.358us      14.08 Kb      14.08 Kb      95.20 Mb      95.20 Mb           134  
