-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.96%      22.336ms       100.00%     754.180ms     754.180ms       0.000us         0.00%     134.272ms     134.272ms      13.25 Kb         760 b       1.49 Gb      -1.53 Gb             1  
                                              aten::mul         0.56%       4.207ms         2.38%      17.938ms      93.427us       7.203ms         6.00%      10.328ms      53.792us           0 b           0 b     675.18 Mb     675.18 Mb           192  
                                              aten::add         0.40%       2.992ms         2.32%      17.505ms     103.580us       6.794ms         5.66%       8.721ms      51.604us           0 b           0 b     548.52 Mb     548.52 Mb           169  
                                           aten::linear         0.23%       1.715ms        15.41%     116.257ms     801.772us       0.000us         0.00%      89.023ms     613.952us           0 b           0 b     422.73 Mb           0 b           145  
                                            aten::addmm         1.09%       8.247ms        14.85%     112.021ms     772.559us      83.593ms        69.59%      89.023ms     613.952us           0 b           0 b     422.73 Mb     422.73 Mb           145  
                                               aten::to         0.40%       3.027ms         2.11%      15.884ms      88.244us       0.000us         0.00%       3.239ms      17.994us           0 b           0 b     304.72 Mb      19.94 Mb           180  
                                         aten::_to_copy         0.12%     941.000us         1.76%      13.305ms     164.259us       0.000us         0.00%       3.578ms      44.173us           0 b           0 b     304.72 Mb           0 b            81  
                                    aten::empty_strided         0.11%     812.000us         0.33%       2.515ms      31.049us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     304.72 Mb     304.72 Mb            81  
                                           aten::matmul         0.11%     806.000us         1.92%      14.513ms     302.354us       0.000us         0.00%       6.147ms     128.062us           0 b           0 b     203.44 Mb           0 b            48  
                                            aten::empty         0.15%       1.125ms         0.18%       1.334ms       9.955us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     195.99 Mb     195.99 Mb           134  
