-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        35.23%        1.346s       100.00%        3.821s        3.821s       0.000us         0.00%      31.867ms      31.867ms       6.53 Kb         280 b     318.19 Mb    -216.43 Mb             1  
                                              aten::mul         0.05%       1.819ms         0.60%      22.877ms     466.878us     751.000us         2.48%     751.000us      15.327us           0 b           0 b     112.50 Mb     112.50 Mb            49  
                                              aten::add         0.13%       5.129ms         0.17%       6.559ms     107.525us     711.000us         2.35%     723.000us      11.852us           0 b           0 b      81.88 Mb      81.88 Mb            61  
                                            aten::empty         0.07%       2.600ms         0.30%      11.508ms      68.910us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb      80.84 Mb      80.84 Mb           167  
                                           aten::matmul         0.02%     790.000us         1.22%      46.451ms       1.858ms       0.000us         0.00%       9.019ms     360.760us           0 b           0 b      77.46 Mb           0 b            25  
                                            aten::addmm         0.18%       6.815ms         2.91%     111.081ms       2.314ms      17.311ms        57.15%      18.261ms     380.438us           0 b           0 b      74.94 Mb      74.94 Mb            48  
                                            aten::clone         0.43%      16.259ms         0.75%      28.761ms     575.220us       0.000us         0.00%     920.000us      18.400us           0 b           0 b      66.13 Mb           0 b            50  
                                       aten::empty_like         0.01%     272.000us         0.27%      10.200ms     204.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      66.13 Mb           0 b            50  
                                       aten::contiguous         0.00%      33.000us         0.27%      10.162ms     725.857us       0.000us         0.00%     473.000us      33.786us           0 b           0 b      45.03 Mb           0 b            14  
                                           aten::linear         0.00%      21.000us         0.02%     682.000us     682.000us       0.000us         0.00%       7.289ms       7.289ms           0 b           0 b      38.34 Mb           0 b             1  
