-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        67.68%        3.408s       100.00%        5.036s        5.036s       0.000us         0.00%     104.696ms     104.696ms      22.16 Kb         280 b       1.06 Gb    -761.79 Mb             1  
                                              aten::mul         0.04%       2.231ms         0.44%      22.233ms     453.735us       3.829ms         4.67%       4.054ms      82.735us           0 b           0 b     393.75 Mb     393.75 Mb            49  
                                              aten::add         0.04%       2.009ms         0.06%       3.249ms      53.262us       3.099ms         3.78%       3.099ms      50.803us           0 b           0 b     287.38 Mb     287.38 Mb            61  
                                            aten::empty         0.05%       2.573ms         0.08%       3.841ms      23.000us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     286.44 Mb     286.44 Mb           167  
                                           aten::matmul         0.01%     674.000us         0.17%       8.320ms     332.800us       0.000us         0.00%      23.746ms     949.840us           0 b           0 b     274.73 Mb           0 b            25  
                                            aten::clone         0.01%     559.000us         0.09%       4.751ms      95.020us       0.000us         0.00%       2.910ms      58.200us           0 b           0 b     233.77 Mb           0 b            50  
                                       aten::empty_like         0.00%     243.000us         0.04%       1.947ms      38.940us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     233.77 Mb           0 b            50  
                                            aten::addmm         0.12%       6.278ms         0.95%      47.756ms     994.917us      43.437ms        52.94%      65.217ms       1.359ms           0 b           0 b     230.39 Mb     230.39 Mb            48  
                                       aten::contiguous         0.00%      37.000us         0.03%       1.587ms     113.357us       0.000us         0.00%       1.556ms     111.143us           0 b           0 b     157.87 Mb           0 b            14  
                                           aten::linear         0.00%      20.000us         0.02%     865.000us     865.000us       0.000us         0.00%      19.965ms      19.965ms           0 b           0 b     134.21 Mb           0 b             1  
