-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        65.96%        1.768s       100.00%        2.681s        2.681s       0.000us         0.00%     121.883ms     121.883ms      25.28 Kb         280 b       1.21 Gb    -870.98 Mb             1  
                                              aten::mul         0.06%       1.690ms         1.04%      27.994ms     571.306us       4.319ms         4.53%       4.459ms      91.000us           0 b           0 b     450.00 Mb     450.00 Mb            49  
                                              aten::add         0.05%       1.389ms         0.10%       2.660ms      43.607us       3.590ms         3.76%       3.699ms      60.639us           0 b           0 b     329.45 Mb     329.45 Mb            61  
                                            aten::empty         0.06%       1.556ms         0.11%       2.870ms      17.186us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     323.28 Mb     323.28 Mb           167  
                                           aten::matmul         0.02%     514.000us         0.24%       6.476ms     259.040us       0.000us         0.00%      27.451ms       1.098ms           0 b           0 b     310.45 Mb           0 b            25  
                                            aten::clone         0.01%     367.000us         0.14%       3.770ms      75.400us       0.000us         0.00%       3.243ms      64.860us           0 b           0 b     264.51 Mb           0 b            50  
                                       aten::empty_like         0.01%     163.000us         0.07%       1.881ms      37.620us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     264.51 Mb           0 b            50  
                                            aten::addmm         0.16%       4.373ms         0.88%      23.545ms     490.521us      51.072ms        53.53%      76.610ms       1.596ms           0 b           0 b     261.25 Mb     261.25 Mb            48  
                                       aten::contiguous         0.00%     105.000us         0.07%       1.908ms     136.286us       0.000us         0.00%       1.718ms     122.714us           0 b           0 b     180.13 Mb       2.34 Mb            14  
                                           aten::linear         0.00%      20.000us         0.04%     973.000us     973.000us       0.000us         0.00%      23.468ms      23.468ms           0 b           0 b     154.00 Mb           0 b             1  
