-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        51.89%        1.513s       100.00%        2.915s        2.915s       0.000us         0.00%      76.134ms      76.134ms      19.03 Kb         280 b     947.80 Mb    -661.91 Mb             1  
                                              aten::mul         0.06%       1.799ms         0.58%      16.869ms     344.265us       3.293ms         4.48%       3.446ms      70.327us           0 b           0 b     337.50 Mb     337.50 Mb            49  
                                              aten::add         0.06%       1.631ms         0.08%       2.468ms      40.459us       2.653ms         3.61%       2.712ms      44.459us           0 b           0 b     252.54 Mb     252.54 Mb            61  
                                            aten::empty         0.07%       2.164ms         0.09%       2.556ms      15.305us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     252.01 Mb     252.01 Mb           167  
                                           aten::matmul         0.02%     616.000us         0.30%       8.782ms     351.280us       0.000us         0.00%      21.070ms     842.800us           0 b           0 b     243.01 Mb           0 b            25  
                                            aten::clone         0.01%     437.000us         0.12%       3.581ms      71.620us       0.000us         0.00%       2.445ms      48.900us           0 b           0 b     207.20 Mb           0 b            50  
                                       aten::empty_like         0.01%     209.000us         0.05%       1.358ms      27.160us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     207.20 Mb           0 b            50  
                                            aten::addmm         0.19%       5.574ms         1.09%      31.802ms     662.542us      39.445ms        53.71%      41.351ms     861.479us           0 b           0 b     206.00 Mb     206.00 Mb            48  
                                       aten::contiguous         0.00%      33.000us         0.05%       1.365ms      97.500us       0.000us         0.00%       1.311ms      93.643us           0 b           0 b     135.58 Mb           0 b            14  
                                           aten::linear         0.00%      19.000us         0.02%     672.000us     672.000us       0.000us         0.00%      18.115ms      18.115ms           0 b           0 b     116.00 Mb           0 b             1  
