-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         3.12%      55.261ms       100.00%        1.772s        1.772s       0.000us         0.00%      41.660ms      41.660ms       3.88 Kb         760 b     393.44 Mb    -396.62 Mb             1  
                                              aten::mul         0.33%       5.921ms         1.14%      20.126ms     104.823us       1.756ms         4.65%       1.943ms      10.120us           0 b           0 b     211.86 Mb     211.86 Mb           192  
                                              aten::add         0.38%       6.793ms         2.60%      46.120ms     272.899us       1.732ms         4.59%       2.247ms      13.296us           0 b           0 b     152.69 Mb     152.69 Mb           169  
                                           aten::linear         0.21%       3.806ms        10.96%     194.088ms       1.339ms       0.000us         0.00%      28.878ms     199.159us           0 b           0 b     102.09 Mb           0 b           145  
                                            aten::addmm         0.89%      15.721ms        10.16%     179.940ms       1.241ms      26.992ms        71.52%      28.878ms     199.159us           0 b           0 b     102.09 Mb     102.09 Mb           145  
                                               aten::to         0.20%       3.475ms         2.72%      48.193ms     267.739us       0.000us         0.00%       1.178ms       6.544us           0 b           0 b      72.21 Mb           0 b           180  
                                         aten::_to_copy         0.09%       1.537ms         2.52%      44.718ms     552.074us       0.000us         0.00%       1.178ms      14.543us           0 b           0 b      72.21 Mb           0 b            81  
                                    aten::empty_strided         0.27%       4.854ms         0.67%      11.889ms     146.778us       0.000us         0.00%     127.000us       1.568us           0 b           0 b      72.21 Mb      72.21 Mb            81  
                                           aten::matmul         0.07%       1.296ms         1.08%      19.186ms     399.708us       0.000us         0.00%       1.732ms      36.083us           0 b           0 b      44.54 Mb           0 b            48  
                                              aten::bmm         0.19%       3.303ms         0.88%      15.562ms     324.208us       1.661ms         4.40%       1.732ms      36.083us           0 b           0 b      44.54 Mb      44.54 Mb            48  
