-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.76%      23.095ms       100.00%     835.572ms     835.572ms       0.000us         0.00%     223.656ms     223.656ms      25.75 Kb         752 b       2.92 Gb      -3.02 Gb             1  
                                              aten::mul         0.62%       5.191ms         3.14%      26.205ms     136.484us      14.269ms         6.93%      16.794ms      87.469us           0 b           0 b       1.32 Gb       1.32 Gb           192  
                                              aten::add         0.39%       3.272ms         2.15%      17.989ms     106.444us      13.445ms         6.53%      14.910ms      88.225us           0 b           0 b       1.06 Gb       1.06 Gb           169  
                                           aten::linear         0.23%       1.894ms        19.72%     164.810ms       1.137ms       0.000us         0.00%     144.673ms     997.745us           0 b           0 b     800.42 Mb           0 b           145  
                                            aten::addmm         1.09%       9.144ms        19.16%     160.072ms       1.104ms     136.261ms        66.19%     144.673ms     997.745us           0 b           0 b     800.42 Mb     800.42 Mb           145  
                                               aten::to         0.33%       2.752ms         2.59%      21.678ms     120.433us       0.000us         0.00%       7.242ms      40.233us           0 b           0 b     572.28 Mb      17.39 Mb           180  
                                         aten::_to_copy         0.14%       1.140ms         2.28%      19.057ms     235.272us       0.000us         0.00%       7.466ms      92.173us           0 b           0 b     572.28 Mb           0 b            81  
                                    aten::empty_strided         0.14%       1.173ms         0.74%       6.200ms      76.543us       0.000us         0.00%     623.000us       7.691us           0 b           0 b     572.28 Mb     572.28 Mb            81  
                                            aten::empty         0.13%       1.118ms         0.17%       1.414ms      10.552us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     404.99 Mb     404.99 Mb           134  
                                           aten::matmul         0.11%     933.000us         1.98%      16.570ms     345.208us       0.000us         0.00%      11.098ms     231.208us           0 b           0 b     397.72 Mb           0 b            48  
