-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        50.30%        1.239s       100.00%        2.463s        2.463s       0.000us         0.00%     115.841ms     115.841ms      28.41 Kb         280 b       1.36 Gb    -974.71 Mb             1  
                                              aten::mul         0.09%       2.329ms         0.79%      19.439ms     396.714us       4.904ms         4.49%       4.950ms     101.020us           0 b           0 b     506.25 Mb     506.25 Mb            49  
                                              aten::add         0.09%       2.216ms         0.25%       6.048ms      99.148us       4.085ms         3.74%       5.791ms      94.934us           0 b           0 b     369.48 Mb     369.48 Mb            61  
                                            aten::empty         0.10%       2.394ms         0.12%       2.948ms      17.653us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     365.47 Mb     365.47 Mb           167  
                                           aten::matmul         0.03%     663.000us         0.31%       7.623ms     304.920us       0.000us         0.00%      31.678ms       1.267ms           0 b           0 b     349.31 Mb           0 b            25  
                                            aten::clone         0.02%     452.000us         0.17%       4.125ms      82.500us       0.000us         0.00%       3.645ms      72.900us           0 b           0 b     298.50 Mb           0 b            50  
                                       aten::empty_like         0.01%     218.000us         0.07%       1.665ms      33.300us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     298.50 Mb           0 b            50  
                                            aten::addmm         0.25%       6.133ms         1.60%      39.408ms     821.000us      58.478ms        53.53%      62.454ms       1.301ms           0 b           0 b     292.89 Mb     292.89 Mb            48  
                                       aten::contiguous         0.00%      32.000us         0.06%       1.567ms     111.929us       0.000us         0.00%       1.969ms     140.643us           0 b           0 b     202.83 Mb           0 b            14  
                                           aten::linear         0.00%      20.000us         0.04%     920.000us     920.000us       0.000us         0.00%      27.072ms      27.072ms           0 b           0 b     172.55 Mb           0 b             1  
