-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         3.19%      25.632ms       100.00%     804.205ms     804.205ms       0.000us         0.00%     189.584ms     189.584ms      22.62 Kb         760 b       2.52 Gb      -2.65 Gb             1  
                                              aten::mul         0.64%       5.121ms         2.99%      24.060ms     125.312us      12.398ms         7.23%      13.230ms      68.906us           0 b           0 b       1.17 Gb       1.17 Gb           192  
                                              aten::add         0.42%       3.405ms         2.32%      18.627ms     110.219us      11.496ms         6.71%      12.645ms      74.822us           0 b           0 b     952.34 Mb     952.34 Mb           169  
                                           aten::linear         0.23%       1.865ms        17.67%     142.097ms     979.979us       0.000us         0.00%     123.304ms     850.372us           0 b           0 b     683.08 Mb           0 b           145  
                                            aten::addmm         1.19%       9.582ms        17.07%     137.293ms     946.848us     111.779ms        65.20%     123.304ms     850.372us           0 b           0 b     683.08 Mb     683.08 Mb           145  
                                               aten::to         0.35%       2.785ms         2.63%      21.146ms     117.478us       0.000us         0.00%       5.752ms      31.956us           0 b           0 b     502.15 Mb      14.01 Mb           180  
                                         aten::_to_copy         0.14%       1.166ms         2.30%      18.474ms     228.074us       0.000us         0.00%       5.975ms      73.765us           0 b           0 b     502.15 Mb           0 b            81  
                                    aten::empty_strided         0.14%       1.088ms         0.66%       5.334ms      65.852us       0.000us         0.00%      47.000us       0.580us           0 b           0 b     502.15 Mb     502.15 Mb            81  
                                           aten::matmul         0.11%     876.000us         2.07%      16.616ms     346.167us       0.000us         0.00%       9.306ms     193.875us           0 b           0 b     350.48 Mb           0 b            48  
                                            aten::empty         0.15%       1.216ms         0.18%       1.483ms      11.067us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     341.32 Mb     341.32 Mb           134  
