-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    LogSoftmaxBackward0         0.00%      18.000us         0.04%     531.000us     531.000us       0.000us         0.00%     701.000us     701.000us           0 b           0 b      38.00 Mb           0 b             1  
                       aten::_log_softmax_backward_data         0.00%      67.000us         0.04%     513.000us     513.000us     695.000us         0.53%     701.000us     701.000us           0 b           0 b      38.00 Mb      38.00 Mb             1  
autograd::engine::evaluate_function: NllLossBackward...         0.01%      82.000us         0.03%     400.000us     400.000us       0.000us         0.00%     181.000us     181.000us           0 b           0 b      38.00 Mb      -2.50 Kb             1  
                                            aten::where         0.08%       1.177ms         1.61%      23.400ms     650.000us     300.000us         0.23%     492.000us      13.667us           0 b           0 b      32.96 Mb      -5.50 Kb            36  
                                           BmmBackward0         0.04%     515.000us         0.33%       4.755ms     198.125us       0.000us         0.00%       3.126ms     130.250us           0 b           0 b      32.08 Mb           0 b            24  
                                          aten::dropout         0.02%     249.000us         0.78%      11.409ms     308.351us       0.000us         0.00%       1.614ms      43.622us           0 b           0 b      32.04 Mb           0 b            37  
                                   aten::native_dropout         0.14%       1.997ms         0.77%      11.160ms     301.622us     320.000us         0.24%       1.614ms      43.622us           0 b           0 b      32.04 Mb    -600.00 Kb            37  
                                             aten::tanh         0.03%     399.000us         0.11%       1.591ms     132.583us     195.000us         0.15%     197.000us      16.417us           0 b           0 b      28.12 Mb      28.12 Mb            12  
                                          TanhBackward0         0.02%     318.000us         0.73%      10.582ms     881.833us       0.000us         0.00%     385.000us      32.083us           0 b           0 b      28.12 Mb           0 b            12  
                                    aten::tanh_backward         0.03%     396.000us         0.70%      10.264ms     855.333us     385.000us         0.29%     385.000us      32.083us           0 b           0 b      28.12 Mb      28.12 Mb            12  
                                           PowBackward0         0.02%     268.000us         0.13%       1.914ms     159.500us       0.000us         0.00%     797.000us      66.417us           0 b           0 b      28.12 Mb     -56.25 Mb            12  
                                 NativeDropoutBackward0         0.02%     352.000us         0.19%       2.758ms      74.541us       0.000us         0.00%     229.000us       6.189us           0 b           0 b      25.63 Mb           0 b            37  
                          aten::native_dropout_backward         0.06%     880.000us         0.17%       2.406ms      65.027us     225.000us         0.17%     229.000us       6.189us           0 b           0 b      25.63 Mb           0 b            37  
                                          aten::resize_         0.03%     419.000us         0.03%     419.000us      13.967us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      22.85 Mb      22.85 Mb            30  
                                              aten::cat         0.04%     565.000us         1.33%      19.307ms       1.207ms     346.000us         0.26%     346.000us      21.625us       6.25 Kb       6.25 Kb      22.78 Mb      22.78 Mb            16  
                                         SplitBackward0         0.01%     130.000us         1.33%      19.407ms       1.617ms       0.000us         0.00%     346.000us      28.833us           0 b           0 b      22.78 Mb           0 b            12  
                                              aten::div         0.07%     995.000us         0.78%      11.392ms     474.667us     313.000us         0.24%     387.000us      16.125us           0 b           0 b      21.97 Mb      21.97 Mb            24  
                               NativeLayerNormBackward0         0.02%     347.000us         0.22%       3.259ms     130.360us       0.000us         0.00%     593.000us      23.720us           0 b           0 b      14.79 Mb           0 b            25  
                       aten::native_layer_norm_backward         0.06%     916.000us         0.20%       2.912ms     116.480us     593.000us         0.45%     593.000us      23.720us           0 b           0 b      14.79 Mb           0 b            25  
                                       aten::layer_norm         0.01%     151.000us         0.30%       4.324ms     172.960us       0.000us         0.00%     437.000us      17.480us           0 b           0 b      14.70 Mb           0 b            25  
                                aten::native_layer_norm         0.10%       1.512ms         0.29%       4.173ms     166.920us     361.000us         0.27%     437.000us      17.480us           0 b           0 b      14.70 Mb           0 b            25  
                                          ViewBackward0         0.07%     948.000us         0.31%       4.446ms      27.962us       0.000us         0.00%     239.000us       1.503us           0 b           0 b      14.06 Mb           0 b           159  
                                          aten::softmax         0.01%      83.000us         2.69%      39.148ms       3.262ms       0.000us         0.00%     205.000us      17.083us           0 b           0 b      10.99 Mb           0 b            12  
                                         aten::_softmax         0.03%     452.000us         2.68%      39.065ms       3.255ms     182.000us         0.14%     205.000us      17.083us           0 b           0 b      10.99 Mb      10.99 Mb            12  
                                       SoftmaxBackward0         0.01%     176.000us         0.09%       1.334ms     111.167us       0.000us         0.00%     316.000us      26.333us           0 b           0 b      10.99 Mb           0 b            12  
                           aten::_softmax_backward_data         0.03%     508.000us         0.08%       1.158ms      96.500us      96.000us         0.07%     316.000us      26.333us           0 b           0 b      10.99 Mb           0 b            12  
                                         WhereBackward0         0.01%      93.000us         0.13%       1.878ms     156.500us       0.000us         0.00%     174.000us      14.500us           0 b           0 b      10.99 Mb        -512 b            12  
                                           DivBackward0         0.01%      86.000us         0.04%     616.000us      51.333us       0.000us         0.00%     159.000us      13.250us           0 b           0 b      10.99 Mb           0 b            12  
autograd::engine::evaluate_function: NativeDropoutBa...         0.04%     512.000us         0.22%       3.270ms      88.378us       0.000us         0.00%     229.000us       6.189us           0 b           0 b       7.65 Mb     -17.98 Mb            37  
                                    UnsafeViewBackward0         0.03%     414.000us         0.16%       2.376ms      38.951us       0.000us         0.00%     229.000us       3.754us           0 b           0 b       7.03 Mb           0 b            61  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.01%      96.000us         0.27%       3.905ms       1.952ms       0.000us         0.00%       2.557ms       1.278ms           0 b           0 b       2.12 Mb    -296.88 Mb             2  
    autograd::engine::evaluate_function: SplitBackward0         0.02%     225.000us         1.35%      19.632ms       1.636ms       0.000us         0.00%     346.000us      28.833us           0 b           0 b       1.69 Mb     -21.09 Mb            12  
