-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        49.31%     599.884ms       100.00%        1.216s        1.216s       0.000us         0.00%      67.885ms      67.885ms      12.78 Kb         280 b     640.38 Mb    -439.33 Mb             1  
                                              aten::mul         0.10%       1.167ms         0.75%       9.164ms     187.020us       2.222ms         4.14%       2.238ms      45.673us           0 b           0 b     225.16 Mb     225.16 Mb            49  
                                            aten::empty         0.11%       1.396ms         0.15%       1.873ms      11.216us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     174.96 Mb     174.96 Mb           167  
                                              aten::add         0.11%       1.360ms         0.20%       2.422ms      39.705us       1.740ms         3.25%      14.408ms     236.197us           0 b           0 b     168.52 Mb     168.52 Mb            61  
                                           aten::matmul         0.04%     452.000us         0.39%       4.718ms     188.720us       0.000us         0.00%      14.912ms     596.480us           0 b           0 b     165.10 Mb           0 b            25  
                                            aten::clone         0.03%     335.000us         0.22%       2.681ms      53.620us       0.000us         0.00%       1.708ms      34.160us           0 b           0 b     142.69 Mb           0 b            50  
                                       aten::empty_like         0.01%     151.000us         0.08%     948.000us      18.960us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     142.69 Mb           0 b            50  
                                            aten::addmm         0.37%       4.535ms         1.97%      23.921ms     498.354us      29.942ms        55.85%      31.367ms     653.479us           0 b           0 b     138.18 Mb     138.18 Mb            48  
                                       aten::contiguous         0.00%      21.000us         0.08%     996.000us      71.143us       0.000us         0.00%     911.000us      65.071us           0 b           0 b      92.31 Mb           0 b            14  
                                           aten::linear         0.00%      16.000us         0.04%     507.000us     507.000us       0.000us         0.00%      12.628ms      12.628ms           0 b           0 b      76.69 Mb           0 b             1  
